year,violence_battle_deaths_africa
1989,35390
1990,64839
1991,25480
1992,6887
1993,15064
1994,9606
1995,6806
1996,8188
1997,24107
1998,23573
1999,61435
2000,59896
2001,10636
2002,7452
2003,6358
2004,6045
2005,1600
2006,3694
2007,3349
2008,4678
2009,5600
2010,3993
2011,8463
2012,6520
2013,7201
2014,10341
2015,10283
2016,9916
2017,9425
2018,6839
2019,8393
2020,30310
2021,135079
2022,175302
2023,27687
2024,17387
2025,32497
