year,education_govt_expenditure_eas
1980,2.98676490783691
1982,3.90329003334045
2002,3.6369549036026
2004,3.53943502902985
2007,3.17887997627258
2008,3.26652002334595
2009,3.86193990707398
2010,3.5100200176239
2011,3.51174998283386
2012,3.50960993766785
2013,3.94216501712799
2014,3.54012312110584
2015,3.50010727729012
2016,3.38517552407879
2017,3.41865686539527
2018,3.19769395901619
2019,3.08499832693462
2020,3.30628991127014
2021,2.98212428478268
2022,2.88738689372749
2023,3.51481008529663
