year,violence_active_conflicts_world
1989,41
1990,49
1991,53
1992,51
1993,44
1994,50
1995,41
1996,41
1997,39
1998,40
1999,40
2000,40
2001,38
2002,33
2003,33
2004,33
2005,33
2006,33
2007,35
2008,39
2009,37
2010,31
2011,37
2012,33
2013,39
2014,46
2015,54
2016,54
2017,54
2018,52
2019,57
2020,57
2021,54
2022,56
2023,59
2024,59
2025,65
