year,transport_ev_fleet_share_europe
2010,0.010999999940395355
2011,0.017999999225139618
2012,0.028999999165534973
2013,0.04899999871850014
2014,0.0820000022649765
2015,0.15000000596046448
2016,0.2199999988079071
2017,0.30000001192092896
2018,0.4300000071525574
2019,0.5899999737739563
2020,1
2021,1.7999999523162842
2022,2.5
2023,3.5999999046325684
2024,4.400000095367432
2025,5
