year,economy_poverty_rate_3000_world
1981,88.4
1982,88.3
1983,88.41
1984,88.27000000000001
1985,88.19
1986,87.79
1987,87.6
1988,87.4
1989,87.16000000000001
1990,87.4
1991,87.49
1992,87.58
1993,87.77000000000001
1994,87.64
1995,87.46000000000001
1996,87.38
1997,87.28
1998,87.2
1999,87.22
2000,86.98
2001,86.87
2002,86.72
2003,86.49
2004,86.15
2005,85.92
2006,85.64
2007,85.2
2008,85.07000000000001
2009,85.09
2010,84.89
2011,84.89
2012,84.71
2013,84.49
2014,84.33
2015,84.05
2016,83.72
2017,83.44
2018,83.15
2019,82.8
2020,82.98
2021,81.91000000000001
2022,81.89999999999999
2023,81.10000000000001
2024,80.64
2025,80.33
2026,80.04
