year,safety_road_deaths_world
2000,19.1004073200684
2001,19.1583894614591
2002,19.2878464794804
2003,19.0509464878523
2004,18.8520743736843
2005,18.9489191435368
2006,18.9184509525987
2007,18.8649077555521
2008,18.6047163853934
2009,18.3044850330042
2010,18.2044737334791
2011,18.1988535945834
2012,17.9825873451734
2013,17.5508081540915
2014,17.2026852036222
2015,16.9979178152127
2016,16.8799072910581
2017,16.7656242823583
2018,16.7361970474468
2019,16.750183286878
