year,science_rnd_spend_gdp_world
1996,1.9642878
1997,1.9621758
1998,1.9715075
1999,2.0472548
2000,2.0457368
2001,2.0631313
2002,2.027654
2003,2.0180912
2004,1.9701158
2005,1.9513361
2006,1.964096
2007,1.9301429
2008,1.9834061
2009,2.0214665
2010,2.0072408
2011,1.9909141
2012,2.0227106
2013,1.9859407
2014,2.098496
2015,2.1155944
2016,2.16123
2017,2.1551697
2018,2.2319484
2019,2.2896023
2020,2.4802809
2021,2.575477
2022,2.669921
