year,science_openalex_country_indonesia_multiple_world
2000,1
2001,1.09
2002,1.33
2003,1.44
2004,1.9
2005,2.3
2006,2.64
2007,3.43
2008,3.91
2009,5.45
2010,6.94
2011,8.97
2012,14.06
2013,20.05
2014,24.47
2015,35.43
2016,50.89
2017,77.88
2018,107.82
2019,138.88
2020,165.24
2021,198.05
2022,214.21
2023,266.34
2024,269.03
