year,energy_electricity_demand_world
2000,15278.78
2001,15500.83
2002,16049.89
2003,16628.01
2004,17414.99
2005,18134.08
2006,18838.99
2007,19713.96
2008,20102.64
2009,19943.51
2010,21263.75
2011,21972.04
2012,22515.67
2013,23155.03
2014,23747.07
2015,24002.35
2016,24694.51
2017,25441.04
2018,26464.49
2019,26832.42
2020,26712.78
2021,28244.18
2022,28893.72
2023,29641.59
2024,30912.51
2025,31739.74
