year,climate_ocean_heat_world
2005,10.171
2006,12.638
2007,12.394
2008,13.257
2009,13.431
2010,14.537
2011,15.394
2012,16.187
2013,18.65
2014,20.11
2015,22.401
2016,20.799
2017,23.589
2018,24.059
2019,25.436
2020,25.525
2021,27.28
2022,28.192
2023,29.22
2024,30.316
2025,32.533
