year,substance_smoking_eas
2000,29.9468209175097
2005,28.3615108695231
2007,27.7829555831967
2010,27.0864279083596
2015,25.9865953516797
2020,25.0153186135364
2021,24.7138557204019
2022,24.6404445882366
