year,transport_ev_sales_share_germany
2010,0.004900000058114529
2011,0.052000001072883606
2012,0.10999999940395355
2013,0.23000000417232513
2014,0.44999998807907104
2015,0.7300000190734863
2016,0.7400000095367432
2017,1.600000023841858
2018,2
2019,3
2020,14
2021,26
2022,31
2023,24
2024,20
2025,30
