year,science_openalex_field_medicine_world
2000,0.56
2001,0.52
2002,0.57
2003,0.65
2004,0.71
2005,0.75
2006,0.84
2007,0.87
2008,0.98
2009,1.03
2010,1.08
2011,1.14
2012,1.21
2013,1.25
2014,1.3
2015,1.36
2016,1.35
2017,1.39
2018,1.42
2019,1.49
2020,1.69
2021,1.63
2022,1.54
2023,1.71
2024,1.63
