year,transport_ev_stock_europe
2010,29000
2011,48000
2012,76000
2013,130000
2014,220000
2015,400000
2016,600000
2017,870000
2018,1200000
2019,1800000
2020,3100000
2021,5400000
2022,7800000
2023,11000000
2024,13000000
2025,17000000
