year,youth_neet_world
2005,22.69
2006,22.556
2007,22.287
2008,22.088
2009,22.172
2010,21.893
2011,21.451
2012,21.171
2013,21.175
2014,21.11
2015,21.22
2016,21.381
2017,21.434
2018,21.401
2019,21.327
2020,22.702
2021,21.375
2022,20.398
2023,19.698
2024,19.919
2025,20.045
2026,20.126
2027,20.217
