year,transport_ev_sales_share_turkey
2012,0.01600000075995922
2013,0.0001500000071246177
2014,0.012000000104308128
2015,0.029999999329447746
2016,0.017000000923871994
2017,0.014999999664723873
2018,0.04500000178813934
2019,0.08399999886751175
2020,0.20999999344348907
2021,0.6299999952316284
2022,1.2999999523162842
2023,7.199999809265137
2024,11
2025,22
