year,transport_ev_2_3_wheeler_share_india
2010,0.3400000035762787
2011,0.2199999988079071
2012,1.2000000476837158
2013,1.2999999523162842
2014,1.5
2015,0.03999999910593033
2016,0.25999999046325684
2017,0.4099999964237213
2018,0.5600000023841858
2019,0.8500000238418579
2020,0.8199999928474426
2021,2.0999999046325684
2022,5.900000095367432
2023,7.900000095367432
2024,9
2025,10
