year,violence_current_war_sudan
1989,4253
1990,4335
1991,1317
1992,1083
1993,942
1994,337
1995,1000
1996,2289
1997,3709
1998,4891
1999,1408
2000,2841
2001,3408
2002,2021
2003,1999
2004,3278
2005,161
2006,1002
2007,217
2008,598
2009,353
2010,1010
2011,1404
2012,1173
2013,594
2014,856
2015,1264
2016,1309
2017,160
2018,243
2020,45
2021,31
2022,47
2023,11760
2024,4684
2025,12269
