year,health_child_mortality_wb_sas
1990,128.6
1991,124.5
1992,120.6
1993,116.8
1994,113.1
1995,109.3
1996,105.5
1997,101.7
1998,97.8
1999,93.9
2000,90
2001,86.1
2002,82.4
2003,78.9
2004,75.6
2005,72
2006,68.7
2007,65.5
2008,62.4
2009,59.4
2010,56.3
2011,53.4
2012,50.5
2013,47.7
2014,45.1
2015,42.6
2016,40.3
2017,38.1
2018,36
2019,34.1
2020,32.4
2021,30.8
2022,29.3
2023,28
2024,26.8
