year,air_pollution_pm25_exposure_sau
1998,39.1
1999,45.1
2000,47
2001,44.7
2002,44.9
2003,52.3
2004,48.6
2005,49.9
2006,53.5
2007,52.4
2008,56.7
2009,56.3
2010,58
2011,59.6
2012,56.2
2013,54.7
2014,52.3
2015,57.6
2016,54.3
2017,57.9
2018,59.8
2019,60
2020,55.9
2021,59.1
2022,62.6
2023,49.5
2024,50.4
