year,energy_clean_share_electricity_united_states
2000,29.06
2001,28.14
2002,29.04
2003,28.77
2004,28.69
2005,28.13
2006,28.87
2007,27.87
2008,28.81
2009,30.82
2010,29.93
2011,31.79
2012,31.22
2013,32.29
2014,32.81
2015,33.15
2016,35
2017,37.32
2018,36.66
2019,37.76
2020,39.85
2021,39.51
2022,40.35
2023,40.89
2024,41.87
2025,43
