year,transport_ev_sales_share_mode_buses
2010,0.0560000017285347
2011,0.03999999910593033
2012,0.11999999731779099
2013,0.23000000417232513
2014,0.6299999952316284
2015,3.5
2016,5
2017,5.699999809265137
2018,5.599999904632568
2019,5
2020,5.199999809265137
2021,4.400000095367432
2022,5.099999904632568
2023,3.9000000953674316
2024,4.800000190734863
2025,5
