year,technology_electricity_access_world
1998,73.196236
1999,74.50321
2000,78.2214
2001,78.71524
2002,79.1008
2003,79.964905
2004,79.95215
2005,80.70133
2006,81.35346
2007,81.97116
2008,82.668175
2009,82.86582
2010,83.447136
2011,84.50623
2012,84.93629
2013,85.710686
2014,86.19559
2015,86.923996
2016,88.10448
2017,88.93176
2018,89.797386
2019,90.10839
2020,90.39569
2021,91.33427
2022,91.28831
2023,91.599174
