year,transport_ev_sales_share_europe
2010,0.012000000104308128
2011,0.07400000095367432
2012,0.20000000298023224
2013,0.4300000071525574
2014,0.6800000071525574
2015,1
2016,1.399999976158142
2017,1.7999999523162842
2018,2.299999952316284
2019,3.4000000953674316
2020,10
2021,17
2022,21
2023,22
2024,21
2025,28
