year,transport_ev_sales_share_mode_trucks
2010,0.0008900000248104334
2011,0.004000000189989805
2012,0.0006200000061653554
2013,0.0008399999933317304
2014,0.0012000000569969416
2015,0.4399999976158142
2016,1.100000023841858
2017,1.5
2018,0.7300000190734863
2019,0.5
2020,0.3100000023841858
2021,0.6600000262260437
2022,1.600000023841858
2023,2.200000047683716
2024,4.5
2025,9
