year,air_pollution_pm25_exposure_hic
1998,15.482812
1999,14.881469
2000,15.792008
2001,15.652075
2002,15.858334
2003,16.359762
2004,15.067222
2005,15.725948
2006,16.187685
2007,15.3621235
2008,15.314559
2009,15.2724905
2010,15.469542
2011,15.360141
2012,14.507221
2013,14.250507
2014,14.233559
2015,14.244794
2016,13.505668
2017,13.731698
2018,13.643721
2019,12.920484
2020,12.112705
2021,12.525166
2022,12.621231
2023,12.693092
2024,12.502789
