year,air_pollution_pm25_exposure_umc
1998,23.528185
1999,22.518269
2000,26.247654
2001,27.047905
2002,28.783792
2003,30.842197
2004,30.355484
2005,32.05125
2006,34.097477
2007,34.33403
2008,33.63302
2009,33.040085
2010,32.57012
2011,34.9927
2012,33.089836
2013,34.240154
2014,36.689983
2015,35.61498
2016,32.73074
2017,31.37463
2018,29.1724
2019,28.908936
2020,26.271002
2021,25.309399
2022,25.640263
2023,26.284023
2024,26.051254
