year,education_out_of_school_primary_central_and_southern_asia
2000,54760000
2001,51420000
2002,48520000
2003,45720000
2004,43680000
2005,41700000
2006,39740000
2007,37820000
2008,35760000
2009,34450000
2010,32390000
2011,30760000
2012,29370000
2013,28300000
2014,26880000
2015,25490000
2016,23810000
2017,21890000
2018,20080000
2019,18380000
2020,17010000
2021,15960000
2022,15600000
2023,15090000
