year,violence_battle_deaths_asia
1989,10018
1990,10132
1991,15508
1992,17039
1993,9385
1994,12642
1995,12719
1996,12034
1997,11498
1998,12248
1999,9295
2000,13639
2001,6731
2002,7431
2003,5888
2004,5794
2005,5294
2006,9607
2007,12080
2008,18906
2009,25281
2010,14303
2011,11765
2012,12065
2013,11293
2014,16604
2015,21144
2016,20060
2017,22548
2018,27363
2019,31769
2020,22027
2021,37881
2022,4417
2023,4309
2024,4857
2025,6570
