year,science_openalex_country_china_index_world
2000,100
2001,129.3
2002,186.8
2003,243.2
2004,383
2005,527.5
2006,690.7
2007,850.9
2008,962.5
2009,1088
2010,1186.4
2011,1294.1
2012,1181.9
2013,1209
2014,1152.4
2015,1027.1
2016,886.2
2017,973.8
2018,1134
2019,1295.5
2020,1495.4
2021,1655.8
2022,1959.8
2023,2084.6
2024,2357.6
