year,economy_extreme_poverty_lcn
1981,20
1982,20.7
1983,23.8
1984,23.4
1985,21.8
1986,16.7
1987,19.5
1988,20
1989,19.2
1990,20.7
1991,20.1
1992,20.2
1993,20.1
1994,19.5
1995,18.5
1996,19.9
1997,19.4
1998,19.2
1999,19.5
2000,18.1
2001,17.9
2002,17.1
2003,16.6
2004,15.3
2005,14.2
2006,12
2007,10.8
2008,9.9
2009,9.5
2010,8.5
2011,7.7
2012,7.5
2013,6.8
2014,6.5
2015,6
2016,6.2
2017,6.2
2018,6.1
2019,6.2
2020,5.8
2021,6.2
2022,5
2023,4.6
2024,4.3
