year,energy_clean_share_electricity_china
2000,17.87
2001,20.14
2002,19.14
2003,17.3
2004,18.51
2005,18.3
2006,17.5
2007,17.15
2008,20.98
2009,19.77
2010,20.47
2011,18.66
2012,22.01
2013,22.18
2014,24.55
2015,26.92
2016,28.3
2017,29
2018,29.73
2019,31.5
2020,32.8
2021,33.47
2022,34.9
2023,35.2
2024,38.17
2025,41.59
