year,air_pollution_clean_cooking_bgd
2000,7.7
2001,8
2002,8.3
2003,8.7
2004,9.1
2005,9.4
2006,10
2007,10.4
2008,11
2009,11.7
2010,12.6
2011,13.4
2012,14.5
2013,15.5
2014,16.8
2015,18.1
2016,19.4
2017,20.6
2018,22
2019,23.1
2020,24.6
2021,25.9
2022,27.2
2023,28.4
