year,air_pollution_pm25_exposure_lic
1998,23.193312
1999,21.142141
2000,27.146719
2001,29.091055
2002,27.77805
2003,28.392677
2004,28.973232
2005,28.615984
2006,27.309675
2007,29.389528
2008,29.411558
2009,28.782354
2010,30.445774
2011,31.543814
2012,31.227543
2013,30.847237
2014,29.271448
2015,31.486303
2016,30.051914
2017,29.537937
2018,28.7088
2019,29.43743
2020,28.209827
2021,28.754194
2022,29.652105
2023,26.533962
2024,29.986614
