year,air_pollution_clean_cooking_nga
2000,0.7
2001,0.7
2002,0.7
2003,0.8
2004,0.9
2005,0.9
2006,1
2007,1.1
2008,1.3
2009,1.5
2010,1.8
2011,2.2
2012,2.7
2013,3.4
2014,4.3
2015,5.7
2016,7.4
2017,9.7
2018,12.5
2019,15.7
2020,18.9
2021,21.85
2022,24.4
2023,26.2
