year,health_child_mortality_wb_eas
1990,56.4
1991,55.2
1992,53.9
1993,52.3
1994,50.6
1995,49.6
1996,47.8
1997,45.9
1998,43.9
1999,41.9
2000,39.6
2001,37.5
2002,35.5
2003,32.6
2004,31.5
2005,28.7
2006,27
2007,25.4
2008,24.9
2009,22.5
2010,21.4
2011,20.3
2012,19.1
2013,18.2
2014,17.2
2015,16.6
2016,15.7
2017,15
2018,14.8
2019,14.3
2020,14.4
2021,14.2
2022,14
2023,13.7
2024,13.2
