year,gender_gii_world
1993,0.582
1994,0.58
1995,0.579
1996,0.577
1997,0.574
1998,0.568
1999,0.562
2000,0.557
2001,0.551
2002,0.546
2003,0.54
2004,0.533
2005,0.525
2006,0.518
2007,0.514
2008,0.512
2009,0.507
2010,0.504
2011,0.503
2012,0.499
2013,0.494
2014,0.488
2015,0.48
2016,0.475
2017,0.471
2018,0.467
2019,0.464
2020,0.459
2021,0.458
2022,0.457
2023,0.455
