year,science_openalex_country_germany_multiple_world
2000,1
2001,1.04
2002,1.22
2003,1.23
2004,1.3
2005,1.34
2006,1.53
2007,1.53
2008,1.75
2009,1.81
2010,1.97
2011,1.97
2012,2.09
2013,2.18
2014,2.28
2015,2.37
2016,2.55
2017,2.53
2018,2.68
2019,2.82
2020,2.96
2021,3.07
2022,2.97
2023,3.08
2024,2.84
