year,trade_trade_share_gdp_ssf
1960,38.7957461229675
2011,65.1480935458417
2012,63.9868573624282
2013,62.322232769437
2014,60.7573821380911
2015,57.3062145931923
2016,55.1399503297354
2017,54.233275881935
2018,56.6953501994876
2019,55.7540212745659
2020,51.2033981131689
2021,55.7046429671208
2022,59.1775548748557
2023,57.3480479141028
2024,56.0208720264168
