year,jobs_emp_ratio_korea
1979,36.4
1980,36.1
1981,36.4
1982,36.8
1983,36.5
1984,35.9
1985,36.9
1986,37.8
1987,39.5
1988,40.4
1989,41.6
1990,42.4
1991,43.3
1992,43.7
1993,43.8
1994,44.7
1995,45.5
1996,46.1
1997,46.4
1998,43.3
1999,43.8
2000,45.3
2001,45.8
2002,46.8
2003,46.5
2004,47.2
