year,science_openalex_country_japan_index_world
2000,100
2001,101.5
2002,134.6
2003,126.6
2004,123.7
2005,128.9
2006,135.7
2007,131.8
2008,137.7
2009,138
2010,138.8
2011,144.4
2012,149.4
2013,149.6
2014,153
2015,153.9
2016,155.8
2017,157.6
2018,162.5
2019,165.3
2020,174.4
2021,174.2
2022,167.1
2023,169.9
2024,166.6
