year,technology_internet_users_ssf
2005,2
2006,2.6
2007,3.1
2008,3.6
2009,4.3
2010,6
2011,7.5
2012,9.2
2013,11.2
2014,13.4
2015,16.2
2016,18.3
2017,20
2018,22
2019,24.4
2020,26.7
2021,29
2022,31.1
2023,32.3
2024,33.6
