year,science_rnd_spend_gdp_sas
1996,0.623488631237301
1997,0.68669
1998,0.70378
1999,0.72413
2000,0.736011405769646
2001,0.73591
2002,0.72567
2003,0.71929
2004,0.740626265197392
2005,0.82411
2006,0.78632736913797
2007,0.80507
2008,0.826499370275791
2009,0.827694335291312
2010,0.762064289715317
2011,0.75502
2012,0.74399
2013,0.682172287961583
2014,0.678025269899219
2015,0.670154902727138
2016,0.6495461545429
2017,0.64720145189609
2018,0.641760020059033
2019,0.65942
2020,0.629398082132028
