year,science_openalex_field_computer_science_index_world
2000,100
2001,108.2
2002,206.2
2003,181.5
2004,189.3
2005,223.8
2006,245.1
2007,258.6
2008,276.4
2009,304
2010,328.2
2011,349.6
2012,356.7
2013,366.6
2014,376.6
2015,383.5
2016,392.5
2017,394.6
2018,424.1
2019,447.8
2020,476.4
2021,448.1
2022,431.2
2023,483.3
2024,498.8
