year,hunger_undernourishment_share_world
2001,12.8
2002,12.9
2003,12.8
2004,12.4
2005,11.9
2006,11
2007,10.1
2008,9.5
2009,9.1
2010,8.7
2011,8.4
2012,8.1
2013,7.8
2014,7.7
2015,7.6
2016,7.5
2017,7.4
2018,7.3
2019,7.8
2020,8.2
2021,8.6
2022,8.6
2023,8.5
