year,substance_smoking_sas
2000,55.7393464239759
2005,46.8286855101711
2007,43.4357037147412
2010,38.7717728976102
2015,32.1859767340141
2020,26.9067719189484
2021,26.0418939429683
2022,25.1487267996836
