year,health_child_mortality_wb_lcn
1990,54.6
1991,52.2
1992,49.8
1993,47.4
1994,45
1995,42.7
1996,40.5
1997,38.4
1998,36.9
1999,34.4
2000,32.7
2001,31
2002,29.5
2003,28.1
2004,26.8
2005,25.6
2006,24.6
2007,23.6
2008,22.7
2009,21.8
2010,22.7
2011,20.4
2012,19.8
2013,19.2
2014,18.7
2015,18.3
2016,18.5
2017,17.8
2018,17.4
2019,17
2020,16.7
2021,16.4
2022,16
2023,15.7
2024,15.4
