year,energy_clean_share_electricity_asia
2000,25.56
2001,25.86
2002,24.84
2003,22.52
2004,23.73
2005,23.27
2006,22.99
2007,21.72
2008,22.94
2009,22.49
2010,23.02
2011,20.81
2012,20.7
2013,21.04
2014,22.47
2015,23.87
2016,24.7
2017,25.51
2018,26.28
2019,27.83
2020,29.29
2021,30.13
2022,31.55
2023,31.95
2024,34.14
2025,37.13
