year,energy_wind_solar_share_electricity_united_states
2000,0.16
2001,0.2
2002,0.28
2003,0.3
2004,0.37
2005,0.46
2006,0.67
2007,0.85
2008,1.37
2009,1.9
2010,2.33
2011,2.98
2012,3.59
2013,4.36
2014,5.14
2015,5.63
2016,6.9
2017,8.18
2018,8.71
2019,9.69
2020,11.59
2021,13.06
2022,14.91
2023,15.52
2024,17.21
2025,18.88
