year,substance_smoking_lcn
2000,24.8765801471203
2005,21.3264393156152
2007,20.0931526098571
2010,18.4508816346581
2015,16.0493986345715
2020,14.1056510225422
2021,13.7363576171567
2022,13.4098250634915
