year,transport_ev_sales_share_iceland
2012,0.33000001311302185
2013,1.399999976158142
2014,2.4000000953674316
2015,3.9000000953674316
2016,6.300000190734863
2017,14
2018,20
2019,26
2020,52
2021,70
2022,69
2023,71
2024,43
2025,62
