year,science_openalex_country_india_share_world
2000,0.62
2001,0.69
2002,0.69
2003,0.7
2004,0.68
2005,0.75
2006,0.84
2007,0.89
2008,0.9
2009,0.94
2010,1.04
2011,1.15
2012,1.39
2013,1.52
2014,1.66
2015,1.69
2016,1.83
2017,2.11
2018,2.24
2019,2.28
2020,2.7
2021,3.21
2022,3.68
2023,3.84
2024,4.28
