year,violence_onesided_deaths_world
1989,8108
1990,9857
1991,9746
1992,11703
1993,14109
1994,779685
1995,21085
1996,54291
1997,21204
1998,17333
1999,14601
2000,8514
2001,8927
2002,13848
2003,13552
2004,12286
2005,5816
2006,4474
2007,5014
2008,4489
2009,6113
2010,3750
2011,6926
2012,6470
2013,11679
2014,15339
2015,10883
2016,7937
2017,9349
2018,5187
2019,5536
2020,8948
2021,12030
2022,12172
2023,11341
2024,14260
2025,76453
