year,health_vaccine_measles_world
1980,16
1981,19
1982,20
1983,36
1984,40
1985,46
1986,46
1987,53
1988,62
1989,67
1990,73
1991,68
1992,68
1993,69
1994,71
1995,73
1996,73
1997,71
1998,70
1999,71
2000,71
2001,72
2002,72
2003,73
2004,75
2005,77
2006,79
2007,79
2008,81
2009,83
2010,84
2011,84
2012,84
2013,84
2014,84
2015,84
2016,85
2017,85
2018,86
2019,86
2020,83
2021,81
2022,83
2023,83
2024,84
