year,safety_road_deaths_eas
2000,20.2344518175921
2001,20.3902016769817
2002,20.4475109406422
2003,19.7325167096748
2004,19.2731721016234
2005,19.3626509585661
2006,19.2062880772996
2007,19.1431068069383
2008,18.8107694409416
2009,18.8475043387884
2010,18.730047531086
2011,18.8693985359294
2012,18.4713194622087
2013,17.945458327444
2014,17.2885029257618
2015,17.0307621783565
2016,16.866538381531
2017,16.7951957192725
2018,16.6021049064681
2019,16.5089144477994
