year,science_openalex_country_indonesia_index_world
2000,100
2001,109
2002,132.8
2003,143.6
2004,189.8
2005,229.5
2006,263.9
2007,342.9
2008,391.1
2009,544.6
2010,693.9
2011,896.7
2012,1405.7
2013,2005.1
2014,2446.7
2015,3542.7
2016,5089
2017,7788.3
2018,10782.4
2019,13887.9
2020,16523.8
2021,19804.6
2022,21421.1
2023,26634.5
2024,26903.3
