year,transport_ev_sales_share_mode_vans
2010,0.014000000432133675
2011,0.039000000804662704
2012,0.12999999523162842
2013,0.14000000059604645
2014,0.12999999523162842
2015,0.1599999964237213
2016,0.1599999964237213
2017,0.20000000298023224
2018,0.28999999165534973
2019,0.3400000035762787
2020,0.699999988079071
2021,1.2000000476837158
2022,2.0999999046325684
2023,2.700000047683716
2024,3
2025,4
