year,science_openalex_country_indonesia_share_world
2000,0.04
2001,0.05
2002,0.05
2003,0.05
2004,0.06
2005,0.07
2006,0.07
2007,0.09
2008,0.09
2009,0.12
2010,0.14
2011,0.17
2012,0.26
2013,0.36
2014,0.41
2015,0.58
2016,0.81
2017,1.25
2018,1.75
2019,2.17
2020,2.43
2021,3.1
2022,3.53
2023,4.15
2024,4.25
