year,transport_ev_sales_share_india
2010,0.020999999716877937
2011,0.05700000002980232
2012,0.007300000172108412
2013,0.01600000075995922
2014,0.03799999877810478
2015,0.017000000923871994
2016,0.026000000536441803
2017,0.03099999949336052
2018,0.029999999329447746
2019,0.024000000208616257
2020,0.11999999731779099
2021,0.4099999964237213
2022,1.399999976158142
2023,2.0999999046325684
2024,2.0999999046325684
2025,4
