year,science_openalex_field_engineering_world
2000,0.76
2001,0.82
2002,1.02
2003,1.04
2004,1.11
2005,1.22
2006,1.31
2007,1.37
2008,1.46
2009,1.55
2010,1.64
2011,1.74
2012,1.77
2013,1.84
2014,1.88
2015,1.96
2016,2.01
2017,1.72
2018,1.62
2019,1.66
2020,1.64
2021,1.39
2022,1.19
2023,1.29
2024,1.43
