year,safety_road_deaths_sas
2000,16.1748257623831
2001,16.0487570396593
2002,15.9530715203488
2003,15.6775210833914
2004,15.6740618059698
2005,16.0658911412679
2006,16.398564072582
2007,16.6690595352885
2008,17.0086412507426
2009,16.9201404585279
2010,17.0932669641364
2011,17.2611760306721
2012,17.31461294806
2013,16.794868113899
2014,16.015111319148
2015,15.6063536198862
2016,15.3717077249434
2017,15.2704093483296
2018,15.5411781856994
2019,15.6332866926866
