year,transport_ev_2_3_wheeler_share_world
2010,0.08299999684095383
2011,0.05900000035762787
2012,3.5999999046325684
2013,4.099999904632568
2014,4.699999809265137
2015,4.800000190734863
2016,5.199999809265137
2017,5.599999904632568
2018,7.800000190734863
2019,10
2020,15
2021,18
2022,15
2023,15
2024,14
2025,15
