year,violence_battle_deaths_middle_east
1989,1257
1990,2480
1991,23784
1992,2160
1993,2876
1994,5959
1995,4624
1996,4646
1997,4094
1998,2155
1999,1432
2000,351
2001,549
2002,718
2003,461
2004,4756
2005,3166
2006,5978
2007,3238
2008,3615
2009,3497
2010,2162
2011,4644
2012,54593
2013,74502
2014,83685
2015,70780
2016,59734
2017,39473
2018,20500
2019,12000
2020,13010
2021,26493
2022,5302
2023,30019
2024,30020
2025,17545
