year,energy_solar_share_electricity_world
2000,0.01
2001,0.01
2002,0.01
2003,0.01
2004,0.02
2005,0.02
2006,0.03
2007,0.04
2008,0.06
2009,0.1
2010,0.15
2011,0.29
2012,0.43
2013,0.57
2014,0.83
2015,1.07
2016,1.33
2017,1.75
2018,2.17
2019,2.6
2020,3.19
2021,3.73
2022,4.61
2023,5.61
2024,6.93
2025,8.75
